#{"t_start": 1789501611.0506365, "env_id": "None"}
r,l,t
0.513869,4,22908.37992
0.796568,8,22912.960806
0.977351,4,22915.197123
0.880322,7,22923.050583
0.895016,10,22926.800483
0.980144,6,22928.931266
0.000351,16,22930.593796
0.403775,7,22938.879193
0.996694,10,22939.095809
0.521869,4,22950.541015
0.898971,11,22950.833315
0.943531,8,22956.675272
0.945231,6,22959.21807
0.56675,8,22979.024715
0.911712,22,22986.930048
0.960386,6,22987.073134
0.809935,8,22993.130212
0.801151,4,22993.253439
0.710492,6,22998.114401
0.0,9,23060.093879
0.0,14,23137.347869
0.97382,9,23140.741442
0.69994,9,23146.193419
0.989095,11,23158.064437
0.040011,8,23202.026957
0.682987,14,23202.485495
0.80404,10,23216.770556
0.512239,11,23222.304481
0.0,2,23282.841652
